"id_nuts","name_nuts","id_dim_native","name_dim_native","name_dim_unified","id_var_native","name_var_native","year_native","month_native","val","value_source","id_source_native","name_source_native","month_unified"
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"1.","2","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",1
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"2.","2.5","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",2
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"3.","2.4","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",3
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"4.","1.5","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",4
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"5.","1.7","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",5
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"6.","1.6","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",6
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"7.","2","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",7
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"8.","1.6","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",8
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"9.","1.8","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",9
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"10.","1.9","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",10
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"11.","1.7","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",11
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ10","Average number of nights spent by visitors",2021,"12.","1.9","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",12
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"1.","296","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",1
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"2.","288","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",2
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"3.","366","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",3
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"4.","242","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",4
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"5.","601","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",5
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"6.","1225","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",6
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"7.","1893","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",7
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"8.","1758","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",8
"SK0422_0425","Košice (districts I - IV)","DIM10","Czechia","Czechia","UKAZ07","Number of nights spent by visitors",2021,"9.","2272","SUSR","cr3804mr","Occupancy of accommodation estabishment - districts (countries)",9
