"page_name","page_id","id_var_native","name_var_native","year_native","month_native","origin_city","origin_region","origin_country","val","value_source","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Bruck an der Leitha",NULL,"Austria","1","Facebook Graph API","Point","101831933","101831933","locality","Bruck an der Leitha","Lower Austria","Austria","16.771563","48.026103","1","Bruck an der Leitha, Austria","488.75","289","16.771506","48.026122"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Eckartsau",NULL,"Austria","1","Facebook Graph API","Point","101912441","101912441","locality","Eckartsau","Lower Austria","Austria","16.794953","48.143459","1","Eckartsau, Austria","515.33","312","16.79498","48.143484"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","1","Feldkirch",NULL,"Austria","3","Facebook Graph API","Point","101827453","101827453","locality","Feldkirch","Vorarlberg","Austria","9.586953","47.247465","1","Feldkirch, Austria","1166.34","676","9.58732","47.247519"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Fohnsdorf",NULL,"Austria","1","Facebook Graph API","Point","101834241","101834241","locality","Fohnsdorf","Styria","Austria","14.678804","47.207515","1","Fohnsdorf, Austria","691.2","416","14.678825","47.207576"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Fügen",NULL,"Austria","1","Facebook Graph API","Point","101787873","101787873","locality","Fügen","Tyrol","Austria","11.846386","47.340127","1","Fügen, Austria","981.38","576","11.846025","47.340762"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","1","Graz",NULL,"Austria","1","Facebook Graph API","Point","101748063","101748063","locality","Graz","Styria","Austria","15.432739","47.065852","1","Graz, Austria","629.81","395","15.432542","47.06584"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Graz",NULL,"Austria","2","Facebook Graph API","Point","101748063","101748063","locality","Graz","Styria","Austria","15.432739","47.065852","1","Graz, Austria","629.81","395","15.432542","47.06584"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Graz",NULL,"Austria","2","Facebook Graph API","Point","101748063","101748063","locality","Graz","Styria","Austria","15.432739","47.065852","1","Graz, Austria","629.81","395","15.432542","47.06584"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Hainburg an der Donau",NULL,"Austria","1","Facebook Graph API","Point","101784521","101784521","locality","Hainburg","Lower Austria","Austria","16.9453","48.147538","1","Hainburg an der Donau, Austria","496.13","294","16.945277","48.147514"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Innsbruck",NULL,"Austria","1","Facebook Graph API","Point","101748061","101748061","locality","Innsbruck","Tyrol","Austria","11.407851","47.272308","1","Innsbruck, Austria","1010.18","592","11.408088","47.272038"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Korneuburg",NULL,"Austria","2","Facebook Graph API","Point","101754245","101754245","locality","Korneuburg","Lower Austria","Austria","16.332218","48.34253","1","Korneuburg, Austria","544.59","332","16.332461","48.34233"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","6","Lauterach",NULL,"Austria","1","Facebook Graph API","Point","101827495","101827495","locality","Lauterach","Vorarlberg","Austria","9.725819","47.481719","1","Lauterach, Austria","1136.97","657","9.725814","47.48173"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","6","Lauterach",NULL,"Austria","1","Facebook Graph API","Point","101827495","101827495","locality","Lauterach","Vorarlberg","Austria","9.725819","47.481719","1","Lauterach, Austria","1136.97","657","9.725814","47.48173"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","9","Sankt Margarethen bei Knittelfeld",NULL,"Austria","1","Facebook Graph API","Point","101834225","101834225","locality","Knittelfeld","Styria","Austria","14.831471","47.215692","1","Sankt Margarethen bei Knittelfeld, Austria","679.42","409","14.831576","47.215791"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Seefeld",NULL,"Austria","1","Facebook Graph API","Point","1193016273","1193016273","locality","Seefeld (Attersee)","Upper Austria","Austria","13.54486","47.83868","1","Seefeld, Austria","786.92","463","13.544879","47.838621"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Stainach",NULL,"Austria","1","Facebook Graph API","Point","101787983","101787983","locality","Stainach","Styria","Austria","14.109709","47.53292","1","Stainach, Austria","737.77","456","14.109698","47.532915"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Wien",NULL,"Austria","2","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Wien",NULL,"Austria","2","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Wien",NULL,"Austria","19","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","4","Wien",NULL,"Austria","9","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","5","Wien",NULL,"Austria","7","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","5","Wien",NULL,"Austria","7","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","11","Wien",NULL,"Austria","2","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","12","Wien",NULL,"Austria","5","Facebook Graph API","Point","101748073","101748073","locality","Vienna","Vienna","Austria","16.348388","48.198674","1","Wien, Austria","531.52","326","16.348215","48.199264"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","6","Benátky nad Jizerou",NULL,"Czechia","1","Facebook Graph API","Point","101824179","101824179","locality","Benátky nad Jizerou","Central Bohemian","Czechia","14.829254","50.288094","0.6","Benátky nad Jizerou, Czechia","690.04","490","14.829198","50.288135"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","6","Benátky nad Jizerou",NULL,"Czechia","1","Facebook Graph API","Point","101824179","101824179","locality","Benátky nad Jizerou","Central Bohemian","Czechia","14.829254","50.288094","0.6","Benátky nad Jizerou, Czechia","690.04","490","14.829198","50.288135"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Bernartice",NULL,"Czechia","1","Facebook Graph API","Point","1126030629","1126030629","locality","Bernartice","South Bohemian","Czechia","14.38101","49.36889","0.6","Bernartice, Czechia","644.15","480","14.381079","49.368882"
