"index","page_name","d_year","d_month","City","Country","Users","Sessions","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"231","Visit Kosice","2021","01","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"241","Visit Kosice","2021","03","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"270","Visit Kosice","2021","04","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"343","Visit Kosice","2021","05","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"791","Visit Kosice","2021","06","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"365","Visit Kosice","2021","06","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"1120","Visit Kosice","2021","07","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"1103","Visit Kosice","2021","07","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"282","Visit Kosice","2021","07","(not set)","Austria","3","3","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
"1215","Visit Kosice","2021","07","(not set)","Austria","1","1","Point","2770414","2770414","locality","Nötsch im Gailtal","Carinthia","Austria","13.62595","46.59784","0.6","(not set), Austria","854.8","497","13.625921","46.597829"
